StreetName,Suburb,LATITUDE,LONGITUDE
Altona Street,Kensington,-37.79771875,144.9263105
Altona Street,Kensington,-37.79764048,144.926238
Altona Street,Kensington,-37.79761238,144.926212
Altona Street,Kensington,-37.79852989,144.9270614
Altona Street,Kensington,-37.798477,144.9270124
Altona Street,Kensington,-37.79842412,144.9269635
Altona Street,Kensington,-37.79837123,144.9269145
Altona Street,Kensington,-37.79831835,144.9268655
Altona Street,Kensington,-37.79821257,144.9267676
Altona Street,Kensington,-37.79815969,144.9267187
Altona Street,Kensington,-37.7981068,144.9266697
Altona Street,Kensington,-37.79805392,144.9266207
Altona Street,Kensington,-37.79800103,144.9265718
Astor Place,Carlton,-37.79682045,144.9682235
